DATAFLOW,LAST UPDATE,freq,unit,tra_infr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,EE,2020,138,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,EE,2021,225,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,EL,2012,797,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,EL,2013,792,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,EL,2014,881,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,EL,2015,881,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,EL,2016,933,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,EL,2017,957,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,EL,2018,1251,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,EL,2019,1355,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,EL,2020,1355,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,EL,2021,1355,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,ES,2012,14048,d
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,ES,2013,14777,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,ES,2014,14730,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,ES,2015,15434,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,ES,2016,16223,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,ES,2017,15993,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,ES,2018,16050,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,ES,2019,16204.304,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,ES,2020,16527.748,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,ES,2021,16827.452,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FI,2012,4785,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FI,2013,4842,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FI,2014,4954,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FI,2015,4988,b
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FI,2016,4041,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FI,2017,4063,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FI,2018,4114,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FI,2019,4117,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FI,2020,4135,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FI,2021,4145,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FR,2013,37246.587,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FR,2014,36038.942,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FR,2015,35391.506,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FR,2016,34846.039,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FR,2017,34546.728,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FR,2018,33900.070,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FR,2019,33763.703,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FR,2020,33432,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,FR,2021,33508.364,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,HR,2012,1650,
