FullName,Party,Constituency,Term
Kounenos Ioannis ,NEA DIMOKRATIA,Lasithi,6
Kouris Gerasimos (Makis) ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,6
Kourtidis Evangelos ,NEA DIMOKRATIA,Xanthi,6
Kouvelas Sotirios ,NEA DIMOKRATIA,Thessaloniki A,6
Kouvelis Fotios - Fanourios ,Coalition of the Left and Progress,Athens B,6
Kratsas Apostolos ,NEA DIMOKRATIA,Athens B,6
Krikelis Anastasios ,NEA DIMOKRATIA,Grevena,6
Krikos Athanasios ,NEA DIMOKRATIA,Athens B,6
Kritikos Panagiotis ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,6
Kyratsous Merkourios ,PA.SO.K. (Panhellenic Socialist Movement),Kozani,6
Kyriazopoulos Stefanos ,NEA DIMOKRATIA,Imathia,6
Kyrkos Leonidas ,Coalition of the Left and Progress,Athens A,6
Lampropoulos Ioannis ,NEA DIMOKRATIA,Messinia,6
Lazaris Apostolos ,INDEPENDENT,Lefkada,6
Lianis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Florina,6
Liapis Michalis - Giorgos Konstantinou,NEA DIMOKRATIA,Athens B,6
Linaios - Mitylinaios (Stefanos) - Dionysios ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,6
Linardatos Nikolaos - Leandros ,NEA DIMOKRATIA,State,6
Loras Anestis ,NEA DIMOKRATIA,Ioannina,6
Lotidis Lazaros ,PA.SO.K. (Panhellenic Socialist Movement),Kozani,6
Loukakis Manolis ,PA.SO.K. (Panhellenic Socialist Movement),Rethymno,6
Magkakis Georgios - Alexandros ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,6
Mammonas Nikolaos ,NEA DIMOKRATIA,Larissa,6
Manos Stefanos ,NEA DIMOKRATIA,Athens A,6
Mantzoris Vasileios ,NEA DIMOKRATIA,Arcadia,6
Marinakis Miltiadis ,NEA DIMOKRATIA,Piraeus A,6
Markogiannakis Christos ,NEA DIMOKRATIA,Chania,6
Meimarakis Evangelos - Vasileios ,NEA DIMOKRATIA,Athens B,6
Melidis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Argolida,6
Merkouri Amalia - Maria (Melina) ,PA.SO.K. (Panhellenic Socialist Movement),State,6
Messaris Gerasimos ,NEA DIMOKRATIA,Kefallonia,6
Mimmis Aristotelis ,NEA DIMOKRATIA,Aitoloαkarnania,6
Misailidis Georgios ,NEA DIMOKRATIA,Chios,6
Mitsotakis Konstantinos ,NEA DIMOKRATIA,Thessaloniki A,6
Molla Ismail ,INDEPENDENT,Rodopi,6
Moraitis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Ioannina,6
Moutzouridis Georgios ,NEA DIMOKRATIA,Argolida,6
Nerantzis Anastasios ,NEA DIMOKRATIA,Piraeus B,6
Nikolopoulos Nikolaos ,NEA DIMOKRATIA,Achaia,6
Niotis Grigorios ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,6
Ntentidakis Antonios ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus A,6
Oikonomidis Panagiotis ,PA.SO.K. (Panhellenic Socialist Movement),Arta,6
Oikonomou Christos ,PA.SO.K. (Panhellenic Socialist Movement),Trikala,6
Pachtas Christos ,PA.SO.K. (Panhellenic Socialist Movement),Halkidiki,6
Pafilis Athanasios ,Coalition of the Left and Progress,Fthiotida,6
Pagkalos Theodoros ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),6
Palaiokrassas Ioannis ,NEA DIMOKRATIA,Cyclades,6
Palaiothodoros Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Zakynthos,6
Panagiotidis Ioannis ,NEA DIMOKRATIA,Serres,6
Panagiotopoulos Georgios ,NEA DIMOKRATIA,Kavala,6
Papachristos Athanasios ,NEA DIMOKRATIA,Trikala,6
Papadakis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,6
Papadimitriou Eleftherios ,NEA DIMOKRATIA,Arta,6
Papadimopoulos Ioannis ,NEA DIMOKRATIA,Larissa,6
Papadopoulos Alexandros (Alekos) Konstantinou,PA.SO.K. (Panhellenic Socialist Movement),Thesprotia,6
Papadopoulos Ilias ,PA.SO.K. (Panhellenic Socialist Movement),Kavala,6
Papadopoulos Spyros ,NEA DIMOKRATIA,Kavala,6
Papadopoulos Theodoros ,NEA DIMOKRATIA,Serres,6
Papadopoulos Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Ileia,6
Papageorgiou Georgios Ioanni,NEA DIMOKRATIA,Arta,6
Papageorgopoulos Eleftherios ,NEA DIMOKRATIA,Evia,6
Papageorgopoulos Vasileios ,NEA DIMOKRATIA,Thessaloniki A,6
Papagiannis Michail ,NEA DIMOKRATIA,Of Attica (rest),6
Papailias Ilias ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),6
Papakonstantinou Michalis ,NEA DIMOKRATIA,Kozani,6
Papandreou Andreas ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,6
Papandreou Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,6
Papanikolaou Dimitrios ,Coalition of the Left and Progress,Trikala,6
Papaspyrou Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus A,6
Papastamkos Georgios ,NEA DIMOKRATIA,Imathia,6
Papastefanakis Emmanouil ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,6
Papastratis Orestis ,PA.SO.K. (Panhellenic Socialist Movement),Evia,6
Papathanasiou Charalampos ,NEA DIMOKRATIA,Florina,6
Papathemelis Stylianos - Angelos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,6
Papazoi Elisavet ,PA.SO.K. (Panhellenic Socialist Movement),Cyclades,6
Papoulias Karolos ,PA.SO.K. (Panhellenic Socialist Movement),Ioannina,6
Paraskevas Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Dodecanese Islands,6
Paschalidis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Pella,6
Passalidis Theodoros ,NEA DIMOKRATIA,Kilkis,6
Patlakas Michail ,NEA DIMOKRATIA,Piraeus A,6
Pavlakakis Georgios ,NEA DIMOKRATIA,Xanthi,6
Pavlidis Aristotelis ,NEA DIMOKRATIA,Dodecanese Islands,6
Peponis Anastasios ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,6
Petralia - Palli Fani Epameinonda,NEA DIMOKRATIA,Athens B,6
Petsalnikos Philippos ,PA.SO.K. (Panhellenic Socialist Movement),Kastoria,6
Polydoras Vyron ,NEA DIMOKRATIA,Athens B,6
Potiris Konstantinos ,NEA DIMOKRATIA,Korinthia,6
Pottakis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Korinthia,6
Rallis Georgios ,NEA DIMOKRATIA,Corfu,6
Reppas Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Arcadia,6
Rigas Konstantinos ,Coalition of the Left and Progress,Ioannina,6
Rokofyllos Christos ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,6
Salagkoudis Georgios ,NEA DIMOKRATIA,Thessaloniki B,6
Salikas Nikolaos ,NEA DIMOKRATIA,Rodopi,6
Samaras Antonios ,NEA DIMOKRATIA,Messinia,6
Sapsalis Konstantinos ,NEA DIMOKRATIA,Athens A,6
Sarafopoulos Efstathios ,NEA DIMOKRATIA,Drama,6
Sarris Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,6
Sgouridis Panagiotis Sgouri,PA.SO.K. (Panhellenic Socialist Movement),Xanthi,6
Sideris Michail ,NEA DIMOKRATIA,Evia,6
Sifounakis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Lesvos,6
Simitis Kostas Georgiou,PA.SO.K. (Panhellenic Socialist Movement),Piraeus A,6
Sioufas Dimitrios ,NEA DIMOKRATIA,Karditsa,6
Sivenas Prokopios ,NEA DIMOKRATIA,Pella,6
Skandalakis Panagiotis Nikolaou,NEA DIMOKRATIA,Athens B,6
Skandalidis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Dodecanese Islands,6
Skoulakis Emmanouil ,PA.SO.K. (Panhellenic Socialist Movement),Chania,6
Skoularikis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Ileia,6
Skoulas Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,6
Skyllakos Antonios ,Coalition of the Left and Progress,Larissa,6
Sotirlis Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Karditsa,6
Sotiropoulos Vasileios ,NEA DIMOKRATIA,Argolida,6
Souflias Georgios ,NEA DIMOKRATIA,Larissa,6
Soungaris Petros ,PA.SO.K. (Panhellenic Socialist Movement),Pella,6
Sourlas Georgios Ioanni,NEA DIMOKRATIA,Magnesia,6
Spanos Ioannis ,NEA DIMOKRATIA,Evia,6
Spiliopoulos Anastasios ,NEA DIMOKRATIA,Thessaloniki A,6
Spiliotopoulos Spilios ,NEA DIMOKRATIA,Achaia,6
Spyriounis Kyriakos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,6
Stamatis Dimitrios ,NEA DIMOKRATIA,Thessaloniki A,6
Stamatis Dimitrios ,NEA DIMOKRATIA,Aitoloαkarnania,6
Stamos Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Magnesia,6
Stathis Theodoros ,PA.SO.K. (Panhellenic Socialist Movement),Larissa,6
Stathopoulos Ioannis ,NEA DIMOKRATIA,Lakonia,6
Stathopoulos Vaios ,NEA DIMOKRATIA,Athens A,6
Stavrou Apostolos Evangelou,NEA DIMOKRATIA,Of Attica (rest),6
Stefanopoulos Theodoros - Stefanos ,NEA DIMOKRATIA,Ileia,6
Sympilidis Georgios ,NEA DIMOKRATIA,Kilkis,6
Taliadouros Spyridon ,NEA DIMOKRATIA,Karditsa,6
Tataridis Kyriakos ,PA.SO.K. (Panhellenic Socialist Movement),Grevena,6
Terzopoulos Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Pieria,6
Theodorakis Michail (Mikis) ,NEA DIMOKRATIA,State,6
Thoma Maria ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,6
Tragakis Ioannis ,NEA DIMOKRATIA,Piraeus B,6
Triaridis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Kilkis,6
Tsagkaris Frans ,NEA DIMOKRATIA,Fthiotida,6
Tsaklidis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Kavala,6
Tsaldaris Athanasios Konstantinou,NEA DIMOKRATIA,State,6
Tsetines Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Rodopi,6
Tsiplakos Aristeidis ,NEA DIMOKRATIA,Viotia,6
Tsitsimelis Stylianos ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,6
Tsochatzopoulos Apostolos - Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,6
Tsouderou Virginia ,NEA DIMOKRATIA,State,6
Tsouras Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,6
Tsovolas Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,6
Tzannetakis Tzannis ,NEA DIMOKRATIA,Athens A,6
Tzitzikostas Georgios ,NEA DIMOKRATIA,Thessaloniki B,6
Tzoumakas Stefanos ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,6
Vafeiadis Markos ,PA.SO.K. (Panhellenic Socialist Movement),State,6
Valyrakis Ioan. Iosif ,PA.SO.K. (Panhellenic Socialist Movement),Chania,6
Vardarinos Vasileios ,NEA DIMOKRATIA,Halkidiki,6
Varvitsiotis Ioannis ,NEA DIMOKRATIA,Athens B,6
Vasilakakis Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Serres,6
Vasileiadis Ioannis ,NEA DIMOKRATIA,Achaia,6
Velikis Athanasios ,NEA DIMOKRATIA,Pieria,6
Vellikis Fintias ,Coalition of the Left and Progress,Serres,6
Veryvakis Eleftherios ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,6
Vezdrevanis Ilias ,NEA DIMOKRATIA,Thesprotia,6
Virvidakis Kyriakos ,NEA DIMOKRATIA,Chania,6
Voulgarakis Georgios ,NEA DIMOKRATIA,Athens A,6
Vounatsos Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Lesvos,6
Vouvaloudis Dimosthenis ,PA.SO.K. (Panhellenic Socialist Movement),Magnesia,6
Vrettos Konstantinos (Ntinos) ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),6
Vyzovitis Christos ,NEA DIMOKRATIA,Pella,6
Xarchas Athanasios ,NEA DIMOKRATIA,Fthiotida,6
Zaimis Andreas ,NEA DIMOKRATIA,Achaia,6
Zakolikos Pafsanias ,PA.SO.K. (Panhellenic Socialist Movement),Magnesia,6
Zampounidis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Evros,6
Ziagkas Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Trikala,6
Adamopoulos Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Larissa,7
Adraktas Panagiotis ,NEA DIMOKRATIA,Athens B,7
Akrita Sylva - Kaiti ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,7
Akritidis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,7
Alampanos Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Fthiotida,7
Alevras Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),State,7
Anagnostopoulos Theodoros ,NEA DIMOKRATIA,Karditsa,7
Anastasopoulos Nikolaos ,NEA DIMOKRATIA,Messinia,7
Andreoulakos Apostolos ,NEA DIMOKRATIA,Athens B,7
Andrianopoulos Andreas ,NEA DIMOKRATIA,Piraeus A,7
Androulakis Dimitrios (Mimis) ,INDEPENDENT,Piraeus A,7
Angelopoulos Nikolaos ,NEA DIMOKRATIA,Athens A,7
Anthopoulos Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Serres,7
Antoniou Christos ,NEA DIMOKRATIA,Magnesia,7
Apostolakis Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,7
Apostolidis Loukas ,PA.SO.K. (Panhellenic Socialist Movement),Viotia,7
Aravanis Gerasimos ,KOMMOUNISTIKO KOMMA ELLADAS,Lefkada,7
Arsenis Gerasimos ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,7
Arvanitis Fotios ,PA.SO.K. (Panhellenic Socialist Movement),Fokida,7
Avgerinidis Nikolaos ,NEA DIMOKRATIA,Kilkis,7
Bakoyannis Theodora (Dora) ,NEA DIMOKRATIA,Evrytania,7
Baltas Alexandros ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,7
Bantouvas Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,7
Basiakos Evangelos ,NEA DIMOKRATIA,Viotia,7
Bechrakis Dionysios ,NEA DIMOKRATIA,Athens B,7
Beis Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,7
Bekiris Vasileios ,NEA DIMOKRATIA,Achaia,7
Bellos Triantafyllos ,NEA DIMOKRATIA,Fthiotida,7
Benaki - Psarouda Anna Evangelou,NEA DIMOKRATIA,Athens A,7
Benetatos Panagis ,PA.SO.K. (Panhellenic Socialist Movement),Kefallonia,7
Benos Stavros - Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Messinia,7
Benteniotis Emmanouil ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus A,7
Bontzidis Charalampos ,NEA DIMOKRATIA,Florina,7
Bougas Georgios ,NEA DIMOKRATIA,Piraeus B,7
Bourdara Kalliopi (Kelly) ,NEA DIMOKRATIA,Athens B,7
Boutos Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),State,7
Brakatsoulas Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Karditsa,7
Bratakos Angelos ,NEA DIMOKRATIA,Athens B,7
Charalampopoulos Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,7
Charalampopoulos Konstantinos ,NEA DIMOKRATIA,Ioannina,7
Charalampous Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,7
Chatzidimitriou Traianos ,Coalition of the Left and Progress,Pella,7
Chatzigakis Sotirios ,NEA DIMOKRATIA,Trikala,7
Chatzinikolaou Panagiotis ,NEA DIMOKRATIA,Evros,7
Chomatas Ioannis ,NEA DIMOKRATIA,Cyclades,7
Chrysochoidis Michail ,PA.SO.K. (Panhellenic Socialist Movement),Imathia,7
Damanaki Maria Theodorou,Coalition of the Left and Progress,Athens B,7
Damianidis Alexandros ,PA.SO.K. (Panhellenic Socialist Movement),Serres,7
Damianos Theodoros ,NEA DIMOKRATIA,Drama,7
Daskalakis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Arcadia,7
Delimitsos Panagiotis ,NEA DIMOKRATIA,Aitoloαkarnania,7
Desyllas Alexandros ,NEA DIMOKRATIA,Corfu,7
Diamantidis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,7
Diamantis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki B,7
Dimas Stavros ,NEA DIMOKRATIA,Korinthia,7
Dimitrakopoulos Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,7
Dimopoulos Dimitrios ,NEA DIMOKRATIA,Lesvos,7
Dimoschakis Theofanis ,NEA DIMOKRATIA,Evros,7
Drettakis Emmanouil ,Coalition of the Left and Progress,Athens A,7
Drosogiannis Antonios ,PA.SO.K. (Panhellenic Socialist Movement),Fthiotida,7
Drys Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Corfu,7
Efraimoglou Lazaros ,NEA DIMOKRATIA,Athens A,7
Evert Miltiadis ,NEA DIMOKRATIA,Athens A,7
Faikoglou Amet ,INDEPENDENT,Xanthi,7
Farakos Grigorios ,Coalition of the Left and Progress,Athens A,7
Farantouri Maria ,PA.SO.K. (Panhellenic Socialist Movement),State,7
Farmakis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Larissa,7
Filippopoulos Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Messinia,7
Florakis Ηarilaos ,KOMMOUNISTIKO KOMMA ELLADAS,Athens B,7
Floros Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Larissa,7
Foteas Panagiotis ,NEA DIMOKRATIA,Messinia,7
Fotiadis Apostolos ,PA.SO.K. (Panhellenic Socialist Movement),Evros,7
Fountas Paraskevas ,PA.SO.K. (Panhellenic Socialist Movement),Lakonia,7
Fouras Andreas ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,7
Fragkos Dimitrios ,NEA DIMOKRATIA,Of Attica (rest),7
Galanos Nikolaos ,INDEPENDENT,Piraeus B,7
Galenianos Michail ,NEA DIMOKRATIA,Iraklio,7
Gennimatas Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,7
Georgakopoulos Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Ileia,7
Georgiadis Theodoros ,NEA DIMOKRATIA,Ioannina,7
Georgolios Konstantinos ,NEA DIMOKRATIA,Trikala,7
Geranidis Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki B,7
Giannaros Grigorios ,Coalition of the Left and Progress,Athens A,7
Giannellis - Theodosiadis Ioannis ,NEA DIMOKRATIA,Lesvos,7
Giannopoulos Evangelos ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,7
Giannopoulos Spyridon ,PA.SO.K. (Panhellenic Socialist Movement),Arcadia,7
Giatrakos Konstantinos ,NEA DIMOKRATIA,Lakonia,7
Gikonoglou Moschos ,PA.SO.K. (Panhellenic Socialist Movement),Imathia,7
Giovanoudas Varsamis ,NEA DIMOKRATIA,Halkidiki,7
Gkelestathis Nikolaos ,NEA DIMOKRATIA,Fokida,7
Gkikas Sotirios ,NEA DIMOKRATIA,Corfu,7
Gklinavos Eleftherios ,PA.SO.K. (Panhellenic Socialist Movement),Ioannina,7
Glavinas Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki B,7
Gounatidis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Drama,7
Iatropoulou Aikaterini ,ΟΟ.ΕΟ.,Piraeus B,7
Ioannidis Foivos ,PA.SO.K. (Panhellenic Socialist Movement),Lasithi,7
Kakkalos Nikolaos ,NEA DIMOKRATIA,Pieria,7
Kaklamanis Apostolos ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,7
Kaklamanis Nikitas ,NEA DIMOKRATIA,Athens A,7
Kalaïtzidis Christos ,NEA DIMOKRATIA,Serres,7
Kalamakidis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Evia,7
Kalantzakos Aristeidis ,NEA DIMOKRATIA,Messinia,7
Kaldi Meropi ,NEA DIMOKRATIA,Preveza,7
Kalogiannis Eleftherios ,NEA DIMOKRATIA,Ioannina,7
Kalos Georgios ,NEA DIMOKRATIA,Piraeus A,7
Kampagiannis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Trikala,7
Kanellopoulos Athanasios ,NEA DIMOKRATIA,State,7
Kanellopoulou Krinio ,NEA DIMOKRATIA,Ileia,7
karagkiozopoulos Achilleas ,NEA DIMOKRATIA,Kavala,7
Karagkounis Andreas ,NEA DIMOKRATIA,Aitoloαkarnania,7
Karamanlis Achillefs Georgiou,NEA DIMOKRATIA,Serres,7
Karamanlis Konstantinos ,NEA DIMOKRATIA,Thessaloniki A,7
Karamarios Anastasios Emmanouil,NEA DIMOKRATIA,Dodecanese Islands,7
Karamoutsos Spyros ,PA.SO.K. (Panhellenic Socialist Movement),Preveza,7
Kasimis Theodoros Panagioti,NEA DIMOKRATIA,Athens B,7
Kastanidis Charalampos ,INDEPENDENT,Thessaloniki A,7
Katsanevas Theodoros ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,7
Katsaros Nikos ,NEA DIMOKRATIA,Larissa,7
Katsifaras Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,7
Katsigiannis Christos ,NEA DIMOKRATIA,Of Attica (rest),7
Katsikis Theodoros ,NEA DIMOKRATIA,Of Attica (rest),7
Katsikopoulos Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,7
Katsimpardis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Viotia,7
Kavaratzis Ioannis ,NEA DIMOKRATIA,Evros,7
Kazaklaris Christos ,PA.SO.K. (Panhellenic Socialist Movement),Pieria,7
Kedikoglou Vasileios ,INDEPENDENT,Evia,7
Kefalogiannis Emmanouil ,NEA DIMOKRATIA,Iraklio,7
Kefalogiannis Ioannis ,NEA DIMOKRATIA,Rethymno,7
Klavdianos Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Zakynthos,7
Kokelidis Theodoros (Roulis) ,PA.SO.K. (Panhellenic Socialist Movement),Kozani,7
Kokkinovasilis Christos ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,7
Konstantinidis Eleftherios ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,7
Konstantinidis Konstantinos ,NEA DIMOKRATIA,Kozani,7
Konstantinidis Paschalis ,NEA DIMOKRATIA,Rodopi,7
Konstantinou Floros ,PA.SO.K. (Panhellenic Socialist Movement),Drama,7
Konstantopoulos - Nikolaos ,Coalition of the Left and Progress,State,7
Kontogiannopoulos Vasileios ,NEA DIMOKRATIA,Ileia,7
Korachais Vasileios ,NEA DIMOKRATIA,State,7
Korakas Efstratios ,KOMMOUNISTIKO KOMMA ELLADAS,Lesvos,7
Kosionis Panagiotis ,KOMMOUNISTIKO KOMMA ELLADAS,Achaia,7
Koskinas Christos ,NEA DIMOKRATIA,Thessaloniki B,7
Kostopoulos Dimitrios ,NEA DIMOKRATIA,Arcadia,7
Kostopoulos Dimitrios ,KOMMOUNISTIKO KOMMA ELLADAS,Athens B,7
Kotsakas Antonios ,PA.SO.K. (Panhellenic Socialist Movement),Chios,7
Kotsonis Theodoros ,PA.SO.K. (Panhellenic Socialist Movement),Korinthia,7
Koulouris Kimon ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,7
Kounenos Ioannis ,NEA DIMOKRATIA,Lasithi,7
Kouris Gerasimos (Makis) ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,7
Kourtis Thomas ,NEA DIMOKRATIA,Thesprotia,7
Kouvelas Sotirios ,NEA DIMOKRATIA,Thessaloniki A,7
Kouvelis Fotios - Fanourios ,Coalition of the Left and Progress,Athens B,7
Kratsas Apostolos ,NEA DIMOKRATIA,Athens B,7
Kritikos Panagiotis ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,7
Kyriazopoulos Stefanos ,NEA DIMOKRATIA,Imathia,7
Kyrkos Leonidas ,Coalition of the Left and Progress,Thessaloniki A,7
Laliotis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),State,7
Lampropoulos Ioannis ,NEA DIMOKRATIA,Messinia,7
Lianis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Florina,7
Liapis Michalis - Giorgos Konstantinou,NEA DIMOKRATIA,Athens B,7
Linardatos Nikolaos - Leandros ,NEA DIMOKRATIA,State,7
Lotidis Lazaros ,PA.SO.K. (Panhellenic Socialist Movement),Kozani,7
Magkakis Georgios - Alexandros ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,7
Mammonas Nikolaos ,NEA DIMOKRATIA,Larissa,7
Manos Stefanos ,NEA DIMOKRATIA,Athens A,7
Manousos Ioannnis ,NEA DIMOKRATIA,Cyclades,7
Markogiannakis Christos ,NEA DIMOKRATIA,Chania,7
Matzapetakis Stylianos ,NEA DIMOKRATIA,Iraklio,7
Meimarakis Evangelos - Vasileios ,NEA DIMOKRATIA,Athens B,7
Melidis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Argolida,7
Merkouri Amalia - Maria (Melina) ,PA.SO.K. (Panhellenic Socialist Movement),State,7
Michaloliakos Vasileios Ioanni,NEA DIMOKRATIA,Piraeus A,7
Mimmis Aristotelis ,NEA DIMOKRATIA,Aitoloαkarnania,7
Misailidis Georgios ,NEA DIMOKRATIA,Chios,7
Mitakidis Dimosthenis ,NEA DIMOKRATIA,Serres,7
Mitsotakis Konstantinos ,NEA DIMOKRATIA,Athens B,7
Nikolopoulos Nikolaos ,NEA DIMOKRATIA,Achaia,7
Niotis Grigorios ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,7
Ntentidakis Antonios ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus A,7
Oikonomidis Panagiotis ,PA.SO.K. (Panhellenic Socialist Movement),Arta,7
Oikonomou Christos ,PA.SO.K. (Panhellenic Socialist Movement),Trikala,7
Pachtas Christos ,PA.SO.K. (Panhellenic Socialist Movement),Halkidiki,7
Pafilis Athanasios ,KOMMOUNISTIKO KOMMA ELLADAS,Fthiotida,7
Pagkalos Theodoros ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),7
Papadakis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,7
Papadimitriou Eleftherios ,NEA DIMOKRATIA,Arta,7
Papadimopoulos Ioannis ,NEA DIMOKRATIA,Larissa,7
Papadongonas Alexandros ,NEA DIMOKRATIA,Athens A,7
Papadopoulos Alexandros (Alekos) Konstantinou,PA.SO.K. (Panhellenic Socialist Movement),Thesprotia,7
Papadopoulos Ilias ,INDEPENDENT,Kavala,7
Papadopoulos Spyros ,NEA DIMOKRATIA,Kavala,7
Papadopoulos Theodoros ,NEA DIMOKRATIA,Serres,7
Papafilippou Nikolaos ,NEA DIMOKRATIA,Kozani,7
Papageorgiou Georgios Ioanni,NEA DIMOKRATIA,Arta,7
