"","...1","location_name","res_date","res_price","res_price_sqr","res_sqr","construction_year","levels","bedrooms","bathrooms","deleted","deleted_at","status","energyclass","auto_heating","solar","cooling","safe_door","gas","fireplace","furniture","student","parking"
"367",423,"Kallithea",2022-04-14,198000,1980,100,1980,"3rd",2,1,1,2022-05-07,"Renovated","E",1,0,1,1,0,0,0,0,NA
"368",424,"Kallithea",2022-01-14,140000,1818,77,1969,"1st",2,1,1,2022-04-15,NA,NA,1,0,1,0,0,0,0,0,NA
"369",425,"Kallithea",2022-04-02,375000,3233,116,2020,"5th",3,1,1,2022-04-17,"Newly built","B+",1,0,0,1,0,1,0,0,NA
"370",426,"Kallithea",2021-07-14,220000,2529,87,2008,"1st",3,1,1,2022-06-10,"Good","Pending",1,1,0,1,1,0,0,0,NA
"371",428,"Kallithea",2022-04-11,298000,3590,83,2021,"5th",2,1,1,2022-06-10,"Newly built","A+",1,0,0,1,1,0,0,0,NA
"372",429,"Kallithea",2021-05-06,105000,1500,70,1972,"Ground",2,1,1,2022-03-17,"Excellent","F",1,0,0,0,0,0,0,0,NA
"373",431,"Kallithea",2019-03-05,150000,1429,105,1978,"2nd",2,NA,1,2022-04-20,"Good","Pending",0,0,0,0,0,0,0,0,NA
"374",432,"Kallithea",2022-02-09,309000,3090,100,2004,"2nd",3,1,1,2022-05-18,"Renovated","E",1,0,0,1,1,1,0,0,NA
"375",433,"Kallithea",2021-09-08,2e+05,2062,97,1979,"4th",2,1,0,NA,NA,NA,1,0,1,1,0,0,0,0,NA
"376",434,"Kallithea",2020-01-24,210000,1200,175,1981,"5th",3,1,1,2022-03-23,"Excellent","A",1,0,1,1,1,1,0,0,NA
"377",436,"Kallithea",2021-07-25,199000,1555,128,1987,"2nd",3,2,1,2022-03-26,"Excellent","E",1,1,0,1,0,0,0,0,NA
"378",437,"Kallithea",2022-03-21,225000,1907,118,1990,"2nd",3,1,1,2022-05-17,"Renovated","F",1,0,0,1,1,0,0,0,NA
"379",438,"Kallithea",2022-02-27,129000,1433,90,1973,"1st",3,1,1,2022-04-05,"Good","E",1,1,1,1,0,0,0,0,NA
"380",439,"Kallithea",2022-05-27,150000,2083,72,1979,"1st",2,1,1,2022-06-04,"Good","C",1,0,1,1,1,0,0,0,NA
"381",440,"Kallithea",2022-02-28,79000,1519,52,1969,"3rd",1,1,1,2022-03-17,"Other","E",1,0,1,1,0,0,0,0,NA
"382",441,"Kallithea",2022-06-06,110000,1571,70,1972,"4th",2,1,1,2022-06-07,"Good","F",0,0,1,0,0,0,0,0,NA
"383",442,"Kallithea",2022-06-01,120000,1714,70,1963,"3rd",2,1,1,2022-06-10,NA,"B",0,1,1,1,0,0,0,1,NA
"384",443,"Kallithea",2022-01-07,80000,1667,48,1969,"Other",1,1,1,2022-06-10,NA,NA,1,0,1,0,0,0,0,0,NA
"385",444,"Kallithea",2022-05-25,175000,1563,112,1976,"3rd",3,1,1,2022-06-02,"Good","F",0,0,1,0,0,0,0,0,NA
"386",445,"Kallithea",2022-04-06,215000,2560,84,1995,"2nd",2,1,1,2022-04-14,"Newly built","D",1,1,1,1,0,0,0,0,NA
"387",446,"Kallithea",2012-07-17,185000,2500,74,1973,"3rd",1,1,1,2022-03-17,"Excellent",NA,1,0,0,0,0,0,0,0,NA
"388",447,"Kallithea",2022-03-14,270000,2500,108,1998,"1st",2,1,1,2022-04-01,NA,NA,0,0,0,0,0,0,0,0,NA
"389",448,"Kallithea",2022-06-03,72000,1059,68,1972,"Ground",1,1,1,2022-06-10,"Good","G",0,0,0,0,0,0,0,0,NA
"390",449,"Kallithea",2021-01-15,116000,1785,65,1973,"3rd",1,1,0,NA,"Renovated","F",1,0,1,1,0,0,0,0,NA
"391",450,"Kallithea",2021-09-27,240000,2400,100,1970,"5th",2,1,1,2022-06-10,"Renovated",NA,1,0,0,1,0,0,0,0,NA
"392",451,"Kallithea",2021-11-23,320000,3200,100,1995,"3rd",3,2,1,2022-04-27,"Renovated","C",1,1,0,1,0,1,1,0,"Κλειστό parking"
"393",452,"Kallithea",2022-05-16,73000,1490,49,1972,"Ground",1,1,1,2022-05-17,"Excellent","D",0,0,0,1,0,0,0,0,NA
"394",453,"Kallithea",2022-04-07,145000,2042,71,1975,"Ground",2,1,1,2022-04-08,"Renovated","D",0,0,0,0,0,0,0,0,NA
"395",454,"Kallithea",2022-05-24,250000,2688,93,1981,"1st",2,1,1,2022-06-10,"Excellent","E",0,0,1,1,0,0,1,0,NA
"396",455,"Kallithea",2022-06-02,75000,1500,50,1980,"Other",1,1,1,2022-06-10,NA,"Pending",0,0,0,0,0,0,0,0,NA
"397",456,"Kallithea",2021-10-20,170000,2500,68,1975,"2nd",2,1,1,2022-05-19,"Renovated","C",1,0,1,1,0,0,1,1,NA
"398",457,"Kallithea",2022-04-06,370000,2868,129,1985,"4th",3,2,1,2022-04-22,"Good","G",1,1,1,1,1,0,0,0,NA
"399",458,"Kallithea",2022-04-18,130000,2549,51,1975,"2nd",1,1,1,2022-04-20,"Good","Pending",1,0,1,0,1,0,0,0,NA
