"","...1","location_name","res_date","res_price","res_price_sqr","res_sqr","construction_year","levels","bedrooms","bathrooms","deleted","deleted_at","status","energyclass","auto_heating","solar","cooling","safe_door","gas","fireplace","furniture","student","parking"
"498",575,"Kallithea",2021-06-30,172000,2098,82,1992,"3rd",NA,1,1,2022-05-04,"Good","C",1,1,1,1,0,0,0,0,NA
"499",576,"Kallithea",2022-05-10,190000,1727,110,1987,"2nd",3,1,1,2022-05-20,"Excellent","F",0,0,0,1,0,0,0,0,NA
"500",577,"Kallithea",2022-04-06,380000,2992,127,2000,"4th",3,1,1,2022-04-08,"Newly built","C",1,1,0,1,0,0,0,1,NA
"501",578,"Kallithea",2022-03-23,240000,2400,100,1974,"5th",3,1,1,2022-03-24,"Renovated","E",1,0,1,1,0,0,0,0,NA
"502",579,"Kallithea",2022-06-01,290000,3085,94,2022,"1st",3,1,1,2022-06-10,"Under construction","A",0,0,0,1,0,1,0,0,NA
"503",580,"Kallithea",2022-04-01,295000,2980,99,2022,"1st",3,1,1,2022-06-02,"Newly built","A+",1,1,0,1,1,0,0,0,NA
"504",581,"Kallithea",2021-10-15,69000,2029,34,1978,"2nd",1,1,0,NA,"Needs renovation","F",0,1,1,1,0,0,0,0,NA
"505",582,"Kallithea",2022-04-12,195000,2468,79,1970,"2nd",2,1,1,2022-05-12,"Good","E",1,0,0,1,0,0,1,0,NA
"506",583,"Kallithea",2022-04-03,380000,3140,121,2021,"5th",3,1,1,2022-04-17,"Under construction","A",1,0,0,1,0,1,0,0,NA
"507",585,"Kallithea",2022-04-10,210000,1438,146,1974,"5th",3,2,1,2022-04-11,"Renovated","F",1,1,1,1,0,1,0,0,NA
"508",586,"Kallithea",2022-05-16,380000,3393,112,2022,"3rd",3,1,1,2022-06-10,"Under construction","B+",0,0,0,1,0,1,0,0,NA
"509",587,"Kallithea",2021-12-08,310000,3039,102,2020,"2nd",3,1,1,2022-06-10,"Newly built","Non effective",1,0,0,1,0,1,0,0,NA
"510",588,"Kallithea",2022-05-14,550000,3073,179,2020,"7th",4,1,1,2022-05-31,"Newly built","A",0,0,0,0,0,0,0,0,"Parking πιλωτής"
"511",589,"Kallithea",2022-03-22,105000,2100,50,NA,"Ground",2,1,1,2022-03-23,"Renovated","E",1,1,0,1,0,0,0,0,NA
"512",590,"Kallithea",2022-04-04,120000,2000,60,1974,"3rd",1,1,1,2022-04-05,"Good","Pending",0,1,1,1,0,0,0,1,NA
"513",591,"Kallithea",2022-03-10,110000,1549,71,1977,"Ground",2,1,1,2022-03-17,"Renovated","F",1,0,0,0,0,0,0,0,NA
"514",592,"Kallithea",2022-05-07,3e+05,2679,112,2012,"3rd",3,1,1,2022-05-10,"Excellent","A",0,1,0,1,0,0,0,0,NA
"515",593,"Kallithea",2021-10-17,77000,1604,48,1968,"5th",1,1,1,2022-03-25,"Renovated","E",1,1,1,1,0,0,0,0,NA
"516",594,"Kallithea",2021-10-04,147000,2673,55,NA,"1st",1,1,0,NA,"Under construction","B",1,0,0,1,0,0,0,0,NA
"517",595,"Kallithea",2022-04-07,359000,2943,122,2000,"6th",3,2,1,2022-05-10,"Good","C",1,1,0,1,1,1,0,0,"Κλειστό parking"
"518",597,"Kallithea",2022-03-27,365000,3067,119,2020,"6th",3,1,1,2022-05-08,"Under construction","A",1,0,0,1,1,1,0,0,NA
"519",598,"Kallithea",2022-03-23,490000,5052,97,2022,"3rd",3,1,0,NA,"Newly built","A+",1,1,0,1,0,0,0,0,NA
"520",599,"Kallithea",2020-03-04,120000,1791,67,1975,"Ground",1,1,1,2022-06-10,NA,NA,1,0,0,1,0,0,0,1,NA
"521",600,"Kallithea",2022-05-08,290000,3222,90,1988,"2nd",2,1,1,2022-05-09,"Renovated","C",0,1,0,0,0,0,0,0,"Ανοιχτό parking"
"522",601,"Kallithea",2022-05-16,290000,3222,90,1992,"2nd",2,1,1,2022-05-17,"Good","C",0,1,0,1,0,0,1,0,NA
"523",603,"Kallithea",2022-05-05,180000,2400,75,1973,"3rd",2,1,1,2022-05-12,"Excellent","E",0,0,0,1,0,0,0,0,NA
"524",605,"Kallithea",2022-01-19,51000,1962,26,1978,"3rd",1,1,0,NA,"Excellent","D",1,1,1,0,0,0,0,0,NA
"525",607,"Kallithea",2022-05-19,450000,3462,130,2022,"3rd",3,2,1,2022-05-23,"Under construction","A",0,0,0,1,0,1,0,0,NA
"526",608,"Kallithea",2022-03-21,190000,1863,102,1977,"1st",3,1,1,2022-06-10,"Needs renovation","Non effective",1,0,0,1,1,0,0,0,NA
"527",609,"Kallithea",2022-05-11,1e+05,1250,80,1970,"1st",2,1,1,2022-05-17,"Good","G",0,0,0,0,0,0,0,0,NA
"528",610,"Kallithea",2021-12-14,4e+05,3509,114,2021,"5th",3,1,1,2022-03-17,"Newly built","A+",0,1,1,1,0,1,0,0,"Υπόγειο parking"
"529",611,"Kallithea",2022-04-28,120000,1714,70,1972,"1st",2,1,1,2022-05-01,"Newly built","F",0,0,0,0,0,0,0,0,NA
"530",612,"Kallithea",2022-04-01,250000,3012,83,2006,"1st",2,1,1,2022-06-02,NA,NA,1,0,0,1,1,0,0,0,NA
"531",614,"Kallithea",2022-03-03,105000,1500,70,1965,"Ημιώροφος",2,1,1,2022-03-25,"Renovated","F",0,1,1,1,0,0,1,0,NA
"532",615,"Kallithea",2021-12-26,95000,1338,71,1968,"3rd",2,1,1,2022-06-10,"Good","Pending",1,0,0,1,0,0,0,1,NA
"533",616,"Kallithea",2022-02-16,290000,3625,80,2021,"2nd",2,NA,1,2022-03-17,"Under construction","A",1,0,0,0,1,0,0,0,NA
"534",617,"Kallithea",2022-04-29,114300,1021,112,1975,"2nd",2,1,1,2022-05-23,"Good","G",0,0,0,0,0,0,0,0,NA
"535",618,"Kallithea",2021-12-02,105000,2059,51,1955,"3rd",1,1,1,2022-06-10,"Renovated","E",1,0,1,1,1,0,1,0,NA
"536",620,"Kallithea",2021-05-05,170000,1518,112,1952,"1st",4,1,1,2022-06-10,"Needs renovation","Non effective",1,0,0,0,0,0,0,0,NA
"537",621,"Kallithea",2022-01-26,86000,2150,40,1975,"4th",1,1,1,2022-03-17,"Renovated","Non effective",1,0,0,1,0,0,0,0,NA
"538",624,"Kallithea",2022-03-18,180000,2143,84,1980,"2nd",2,1,1,2022-04-28,"Good","G",1,0,1,0,1,0,0,0,NA
"539",625,"Kallithea",2022-05-05,165000,2200,75,1980,"2nd",2,1,1,2022-05-07,"Renovated","E",0,1,1,1,0,0,0,0,NA
"540",626,"Kallithea",2021-01-20,270000,2700,100,2002,"5th",3,1,1,2022-06-10,"Renovated","C",1,1,1,1,0,1,0,0,NA
"541",627,"Kallithea",2022-04-27,60000,1304,46,1970,"Ground",1,NA,1,2022-06-10,"Renovated","Pending",0,1,1,1,0,0,0,0,NA
"542",628,"Kallithea",2022-04-21,230000,2556,90,2008,"4th",3,1,1,2022-04-29,"Newly built","E",0,0,0,0,0,1,0,0,NA
"543",629,"Kallithea",2022-01-22,210000,1750,120,1963,"Ground",3,1,1,2022-05-20,"Renovated","D",1,0,0,1,0,1,1,0,NA
"544",630,"Kallithea",2022-02-05,2e+05,2500,80,1993,"3rd",2,1,1,2022-04-11,"Good","E",1,0,0,0,0,0,0,0,NA
"545",631,"Kallithea",2022-06-03,280000,3457,81,2021,"1st",2,1,1,2022-06-10,"Newly built","A",0,0,1,1,0,1,0,0,"Κλειστό parking"
"546",632,"Kallithea",2022-06-06,95000,1667,57,1973,"3rd",1,1,1,2022-06-08,NA,"C",0,0,0,1,0,0,1,1,NA
"547",633,"Kallithea",2022-04-02,149000,4515,33,1980,"6th",1,1,1,2022-04-08,"Good","F",1,0,0,0,1,0,0,0,NA
"548",634,"Kallithea",2022-05-17,375000,3641,103,2008,"4th",3,2,1,2022-05-25,"Excellent","C",0,0,0,0,0,1,0,0,"Ανοιχτό parking"
"549",635,"Kallithea",2022-05-08,150000,1613,93,1983,"3rd",2,1,1,2022-05-16,"Excellent","E",0,0,0,0,0,0,1,0,NA
"550",636,"Kallithea",2022-01-29,140000,2500,56,2007,"1st",1,1,0,NA,"Excellent","D",1,0,0,1,0,0,0,1,"Parking πιλωτής"
"551",637,"Kallithea",2020-07-08,1390000,2896,480,2017,"Ground",NA,NA,1,2022-05-14,"Newly built","Pending",1,0,0,1,0,0,0,0,NA
"552",638,"Kallithea",2021-03-19,180000,3103,58,1978,"4th",1,1,0,NA,NA,NA,1,1,1,1,0,0,0,1,NA
"553",639,"Kallithea",2022-04-08,250000,2688,93,1981,"1st",2,1,1,2022-04-09,"Renovated","E",1,0,0,1,0,0,0,0,NA
"554",640,"Kallithea",2022-04-02,75000,1563,48,1970,"Ground",1,1,1,2022-04-08,"Needs renovation","G",0,0,0,0,0,0,0,0,NA
"555",641,"Kallithea",2021-10-06,35000,1129,31,1970,"Ημιώροφος",1,NA,1,2022-03-26,"Needs renovation",NA,1,0,0,0,0,0,0,0,NA
"556",642,"Kallithea",2022-05-06,290000,3152,92,2022,"2nd",2,1,1,2022-05-23,"Under construction","A",0,0,1,1,0,1,0,0,NA
"557",643,"Kallithea",2022-06-04,390000,2786,140,2010,"3rd",3,2,1,2022-06-07,"Newly built","B+",0,1,1,1,0,1,0,0,NA
"558",644,"Kallithea",2022-06-09,145000,2636,55,2008,"2nd",1,1,1,2022-06-10,"Good","A",0,1,0,1,0,0,0,0,NA
"559",645,"Kallithea",2022-05-07,5e+05,4032,124,2022,"7th",3,1,1,2022-06-10,"Newly built","Non effective",0,0,0,1,0,1,0,0,NA
"560",646,"Kallithea",2022-05-05,350000,4268,82,2007,"2nd",2,1,1,2022-05-09,"Good","A",0,1,1,0,0,0,0,0,NA
"561",647,"Kallithea",2022-06-06,435000,3321,131,2022,"1st",3,2,1,2022-06-10,"Newly built","A",0,1,1,1,0,1,0,0,NA
"562",648,"Kallithea",2022-03-23,350000,3182,110,1970,"1st",3,1,1,2022-03-27,"Renovated","E",1,0,1,0,0,0,1,0,NA
"563",649,"Kallithea",2022-05-31,295000,3831,77,2022,"3rd",2,1,1,2022-06-10,"Under construction","A+",0,0,0,1,0,1,0,0,NA
"564",650,"Kallithea",2022-02-23,150000,1765,85,1975,"2nd",1,1,1,2022-03-23,"Good","G",1,0,0,0,0,0,0,0,NA
"565",651,"Kallithea",2022-04-08,29000,1208,24,1975,"Ημιώροφος",1,1,1,2022-04-16,"Good","F",0,0,0,0,0,0,0,0,NA
"566",652,"Kallithea",2022-03-19,3e+05,3704,81,2020,"7th",2,1,1,2022-03-21,"Under construction","B+",1,0,0,1,0,1,0,0,NA
"567",653,"Kallithea",2022-05-06,39000,1300,30,1965,"Basement",1,1,1,2022-05-14,"Renovated","F",0,0,0,0,0,0,1,0,NA
"568",654,"Kallithea",2022-05-16,52000,1182,44,1970,"Ground",1,1,1,2022-05-25,"Good","G",0,0,0,0,0,0,0,1,NA
"569",655,"Kallithea",2022-06-04,430000,3071,140,2010,"4th",3,2,1,2022-06-07,"Newly built","B+",0,1,1,1,0,1,0,0,"Κλειστό parking"
"570",656,"Kallithea",2022-05-17,290000,3372,86,2009,"3rd",2,1,1,2022-05-18,"Newly built","C",0,0,1,0,0,0,0,0,"Ανοιχτό parking"
"571",657,"Kallithea",2021-09-29,270000,2903,93,2004,"3rd",2,1,0,NA,"Excellent","Pending",1,1,0,1,0,1,0,0,NA
"572",658,"Kallithea",2022-06-01,63000,1189,53,1974,"1st",1,1,1,2022-06-04,"Good","E",0,0,0,0,0,0,0,1,NA
"573",659,"Kallithea",2022-03-21,375000,3641,103,2009,"4th",3,1,1,2022-03-23,"Renovated","F",1,0,0,1,1,0,0,0,NA
"574",660,"Kallithea",2022-03-28,360000,2500,144,1976,"3rd",3,1,1,2022-03-30,"Good","D",1,0,1,1,0,0,0,0,NA
"575",661,"Kallithea",2020-06-30,2e+05,1307,153,1985,"3rd",3,NA,1,2022-05-07,"Excellent","C",1,1,1,1,0,1,0,0,NA
"576",662,"Kallithea",2020-06-01,230000,2706,85,2005,"7th",2,1,0,NA,"Excellent","C",1,1,1,1,0,1,0,0,"Parking πιλωτής"
"577",663,"Kallithea",2022-03-19,380000,3551,107,2020,"7th",3,1,1,2022-03-28,"Newly built","B+",1,0,0,1,0,1,0,0,NA
"578",664,"Kallithea",2022-05-04,165000,2578,64,1972,"3rd",2,1,1,2022-05-09,"Good","Pending",0,0,0,0,0,0,0,0,NA
"579",665,"Kallithea",2022-03-01,190000,2923,65,2022,"1st",NA,1,1,2022-03-17,NA,"E",0,0,0,0,1,0,0,0,NA
"580",666,"Kallithea",2020-07-31,150000,1250,120,1936,"Other",2,1,1,2022-06-10,"Good","D",1,0,0,0,1,0,0,0,NA
"581",667,"Kallithea",2022-02-26,3e+05,3061,98,2020,"1st",3,1,1,2022-03-28,"Newly built","A",1,1,0,1,0,0,0,0,NA
"582",668,"Kallithea",2022-05-27,90000,826,109,1969,"1st",4,1,0,NA,NA,"D",1,1,0,0,0,0,0,1,NA
"583",669,"Kallithea",2022-03-11,260000,2600,100,1960,"3rd",2,1,1,2022-03-17,"Good","Pending",1,0,0,0,0,0,0,0,NA
"584",670,"Kallithea",2022-04-03,285000,3314,86,2009,"3rd",2,1,1,2022-04-05,"Excellent","B",1,0,0,1,1,0,0,0,NA
"585",671,"Kallithea",2022-05-08,105000,1842,57,1972,"2nd",1,1,1,2022-05-09,"Good","Pending",0,1,1,0,0,0,0,0,NA
"586",672,"Kallithea",2021-09-20,265000,2431,109,1971,"4th",3,1,1,2022-06-07,"Renovated","E",0,1,1,1,0,0,0,0,NA
"587",673,"Kallithea",2022-05-23,110000,1264,87,1972,"3rd",2,1,1,2022-06-10,"Good","Pending",0,0,0,0,0,0,0,0,NA
"588",675,"Kallithea",2021-10-02,250000,4167,60,2021,"6th",2,1,1,2022-03-27,"Under construction","A",1,0,0,1,0,0,0,0,NA
"589",676,"Kallithea",2021-12-06,630000,1105,570,1995,"Other",NA,NA,0,NA,"Other","Pending",0,0,0,0,0,0,0,0,NA
"590",677,"Kallithea",2022-04-10,350000,4268,82,2007,"2nd",2,1,1,2022-05-07,"Good","A",1,1,1,0,1,0,0,0,NA
"591",678,"Kallithea",2022-03-02,320000,2560,125,1986,"3rd",3,NA,1,2022-06-10,"Renovated","D",0,0,0,0,0,0,0,0,NA
"592",679,"Kallithea",2021-06-02,190000,1900,100,1960,"1st",3,1,1,2022-06-10,"Renovated","Pending",1,1,1,0,0,0,0,0,NA
"593",680,"Kallithea",2022-04-14,180000,2571,70,1971,"3rd",2,1,1,2022-05-07,"Renovated","Pending",1,0,1,1,0,0,0,0,NA
"594",681,"Kallithea",2021-11-21,145000,1629,89,1980,"5th",2,1,1,2022-06-10,"Renovated","F",1,1,1,1,0,0,0,0,NA
"595",682,"Kallithea",2022-01-31,125000,2500,50,1974,"4th",1,1,1,2022-03-17,"Renovated","D",1,0,1,1,1,0,0,0,NA
"596",683,"Kallithea",2022-05-10,175000,2333,75,2010,"Ground",2,1,1,2022-05-20,"Newly built","F",0,0,0,1,0,0,0,0,NA
"597",684,"Kallithea",2022-06-08,530000,4077,130,2022,"6th",3,2,1,2022-06-10,"Under construction","A",0,0,0,1,0,1,0,0,NA
"598",685,"Kallithea",2022-04-25,150000,1531,98,1973,"5th",2,1,0,NA,"Good","F",0,0,0,0,0,1,0,0,NA
"599",686,"Kallithea",2022-05-03,119000,2288,52,1979,"1st",1,1,1,2022-06-10,"Renovated","D",0,0,1,1,0,0,0,0,NA
"600",687,"Kallithea",2022-01-31,55000,1447,38,2004,"Ground",1,1,1,2022-04-02,NA,"A",0,0,1,0,0,0,0,0,NA
"601",688,"Kallithea",2022-05-23,130000,2549,51,1975,"2nd",NA,1,1,2022-06-10,"Renovated","E",0,0,0,0,0,0,0,0,NA
"602",690,"Kallithea",2021-11-15,110000,1528,72,1975,"Ground",2,1,1,2022-06-07,"Needs renovation","D",1,0,0,0,0,0,0,0,NA
"603",691,"Kallithea",2022-05-06,185000,2126,87,2008,"1st",2,1,1,2022-05-14,"Newly built","E",0,0,0,0,0,1,0,0,NA
"604",693,"Kallithea",2022-02-26,123000,1447,85,1973,"2nd",2,1,1,2022-03-18,"Good","Pending",1,0,0,0,1,0,0,0,NA
"605",694,"Kallithea",2021-03-29,150000,1948,77,1967,"3rd",2,1,1,2022-06-07,"Renovated","F",1,0,0,1,0,0,0,0,NA
"606",695,"Kallithea",2022-04-21,175000,2303,76,2008,"3rd",2,1,1,2022-04-29,"Newly built","E",0,0,0,0,0,0,0,0,NA
"607",696,"Kallithea",2022-04-18,110000,1507,73,1982,"2nd",NA,1,1,2022-04-29,"Good","E",1,0,0,1,0,0,0,0,NA
"608",697,"Kallithea",2022-04-16,260000,3250,80,2022,"1st",2,1,1,2022-05-10,"Under construction","A",1,0,0,1,0,1,0,0,NA
"609",700,"Kallithea",2022-03-03,130000,1667,78,1978,"5th",2,1,1,2022-06-04,NA,"B",1,1,0,1,0,0,0,0,NA
"610",701,"Kallithea",2021-08-02,6e+05,3614,166,2021,"7th",4,1,0,NA,"Newly built","Non effective",1,0,0,1,1,0,0,0,NA
"611",703,"Kallithea",2022-04-12,137000,3341,41,2005,"5th",1,1,1,2022-05-12,"Good","D",1,0,0,1,0,0,0,0,NA
"612",704,"Kallithea",2022-04-16,550000,4167,132,2020,"6th",3,1,1,2022-05-23,"Newly built","A",1,0,0,1,0,1,0,0,NA
"613",705,"Kallithea",2022-03-11,220000,2095,105,1986,"3rd",3,1,1,2022-03-17,"Good","D",1,0,0,1,0,0,0,0,NA
"614",706,"Kallithea",2022-05-11,79000,1519,52,1969,"3rd",1,1,1,2022-05-17,"Good","E",0,0,1,1,0,0,0,0,NA
"615",707,"Kallithea",2021-04-14,320000,2783,115,1987,"5th",3,1,1,2022-06-10,"Excellent","C",0,1,1,0,0,0,0,0,NA
"616",708,"Kallithea",2022-05-11,2e+05,1212,165,1972,"2nd",4,1,1,2022-06-10,"Good","G",0,0,0,0,0,0,0,0,NA
"617",709,"Kallithea",2022-05-24,165000,2171,76,1978,"4th",2,1,1,2022-06-02,"Good","E",0,1,0,1,0,0,0,0,NA
"618",710,"Kallithea",2022-05-10,250000,2907,86,2001,"2nd",2,1,1,2022-05-14,"Excellent","Pending",0,0,1,1,0,0,0,0,NA
"619",711,"Kallithea",2022-05-16,90000,1250,72,1968,"Ημιώροφος",2,1,1,2022-05-17,"Good",NA,0,0,0,1,0,0,0,0,NA
"620",713,"Kallithea",2021-02-01,245000,2692,91,2007,"2nd",2,1,0,NA,"Excellent","B",1,1,1,1,0,1,0,0,NA
"621",714,"Kallithea",2022-03-14,240000,3158,76,2022,"4th",2,1,1,2022-03-21,"Under construction","A",1,0,0,1,0,0,0,0,NA
"622",715,"Kallithea",2021-11-23,80000,1176,68,1969,"2nd",2,1,1,2022-03-17,"Renovated","F",1,0,0,0,0,0,0,0,NA
"623",716,"Kallithea",2022-03-19,380000,2452,155,1980,"2nd",3,1,1,2022-03-28,"Renovated","D",1,0,0,0,1,0,0,0,NA
"624",717,"Kallithea",2022-03-18,290000,3295,88,2020,"4th",2,1,1,2022-05-04,"Newly built","Non effective",1,0,0,1,0,0,0,0,NA
"625",719,"Kallithea",2022-04-14,150000,2273,66,1970,"1st",2,1,1,2022-05-07,"Good","F",1,1,0,1,0,0,0,0,NA
"626",721,"Kallithea",2022-04-21,51000,1020,50,1965,"Ground",1,1,1,2022-04-23,"Good","E",0,0,0,0,0,0,0,0,NA
"627",722,"Kallithea",2022-05-22,4e+05,3636,110,2021,"6th",3,1,1,2022-05-30,"Under construction","A",0,0,0,1,0,1,0,0,NA
"628",723,"Kallithea",2022-06-02,280000,3043,92,1972,"5th",3,1,0,NA,NA,"E",0,0,0,1,0,0,0,0,NA
"629",724,"Kallithea",2022-04-15,75000,1316,57,1975,"2nd",1,1,1,2022-04-22,"Good","G",0,0,0,0,0,0,0,0,NA
"630",725,"Kallithea",2022-01-24,215000,1792,120,1980,"2nd",2,1,1,2022-03-25,"Renovated","D",1,0,0,1,1,0,0,0,NA
"631",728,"Kallithea",2022-03-03,215000,1593,135,1972,"6th",3,1,1,2022-03-17,"Excellent","F",1,0,0,0,0,0,0,0,NA
"632",729,"Kallithea",2022-05-28,230000,1949,118,1978,"3rd",2,1,1,2022-06-10,"Good","B",0,0,0,0,0,0,0,0,NA
"633",730,"Kallithea",2022-04-11,250000,3012,83,2021,"3rd",2,1,0,NA,"Newly built","A+",1,0,0,1,1,0,0,0,NA
"634",731,"Kallithea",2022-05-26,40000,1081,37,1968,"Ground",1,1,1,2022-06-02,"Good","G",0,0,0,0,0,0,0,0,NA
"635",733,"Kallithea",2022-05-24,180000,2400,75,1978,"3rd",2,1,1,2022-05-26,"Good","B",0,0,0,1,0,0,0,0,NA
"636",734,"Kallithea",2022-05-15,175000,1944,90,1980,"2nd",2,1,1,2022-05-17,"Renovated","F",0,0,0,0,0,0,0,0,NA
"637",735,"Kallithea",2022-04-02,450000,4091,110,2022,"5th",3,2,1,2022-04-05,"Newly built","A",1,0,0,1,1,0,0,0,NA
"638",736,"Kallithea",2022-05-24,230000,2212,104,1960,"Ground",2,1,1,2022-05-25,"Renovated","G",0,0,0,0,0,0,0,0,NA
"639",737,"Kallithea",2022-04-06,380000,3140,121,NA,"3rd",3,2,1,2022-06-02,"Under construction","A+",1,1,0,1,1,1,0,0,NA
"640",738,"Kallithea",2022-05-22,145000,1726,84,1980,"1st",2,1,1,2022-05-23,"Excellent","D",0,0,0,1,0,0,0,0,NA
"641",739,"Kallithea",2022-05-29,310000,3370,92,2022,"4th",2,1,0,NA,"Under construction","A",1,0,1,1,0,1,0,0,NA
"642",740,"Kallithea",2022-03-19,250000,2809,89,1980,"4th",2,1,1,2022-04-11,"Renovated","B",1,0,1,1,0,0,1,0,NA
"643",741,"Kallithea",2022-05-13,155000,2818,55,2021,"2nd",1,1,1,2022-05-20,"Newly built","Non effective",0,1,0,0,0,0,0,0,NA
"644",742,"Kallithea",2022-05-29,260000,3421,76,2022,"5th",2,1,1,2022-06-07,"Under construction","A",1,0,0,1,0,0,0,0,NA
"645",743,"Kallithea",2019-03-19,250000,1515,165,1976,"2nd",2,1,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA
"646",744,"Kallithea",2022-06-03,130000,3171,41,2022,"2nd",1,1,1,2022-06-10,NA,"B+",0,0,0,1,0,0,0,0,NA
"647",745,"Kallithea",2020-12-01,240000,3429,70,2021,"4th",2,1,1,2022-06-10,"Newly built","A+",1,0,0,1,1,1,0,0,"Parking πιλωτής"
"648",746,"Kallithea",2022-04-03,330000,2870,115,2020,"4th",3,1,1,2022-04-10,"Newly built","B+",1,0,0,1,0,1,0,0,NA
"649",747,"Kallithea",2022-04-16,290000,3118,93,2020,"5th",3,1,1,2022-05-23,"Under construction","B+",1,0,0,1,0,1,0,0,NA
"650",749,"Kallithea",2022-04-22,185000,2126,87,2008,"1st",2,1,1,2022-04-29,"Newly built","E",0,0,0,0,0,1,0,0,NA
"651",751,"Kallithea",2022-04-19,4e+05,3738,107,2022,"7th",3,1,1,2022-05-23,"Under construction","A",0,0,0,1,0,1,0,0,NA
"652",752,"Kallithea",2022-04-24,85000,1545,55,1965,"3rd",1,1,1,2022-05-02,"Renovated","D",0,0,0,0,0,0,1,0,NA
"653",753,"Kallithea",2020-09-14,470000,2686,175,2020,"6th",3,2,1,2022-03-24,"Newly built",NA,1,0,0,0,1,1,0,0,NA
"654",754,"Kallithea",2018-02-08,280000,3636,77,2006,"2nd",2,1,1,2022-05-24,"Good","B",1,1,0,1,0,0,1,0,NA
"655",755,"Kallithea",2022-05-09,180000,1125,160,1960,"Other",4,2,1,2022-05-12,"Renovated","Pending",0,1,1,0,0,0,1,1,NA
"656",756,"Kallithea",2022-04-12,240000,2449,98,1975,"1st",2,1,1,2022-04-14,"Renovated","B+",1,0,1,1,0,0,0,0,NA
"657",757,"Kallithea",2022-04-03,210000,2100,100,1979,"1st",3,1,1,2022-04-14,"Good","F",1,0,0,0,1,0,0,0,NA
"658",758,"Kallithea",2020-02-19,260000,3095,84,1997,"1st",3,1,1,2022-06-10,"Excellent","Pending",1,0,0,1,0,0,0,0,NA
"659",759,"Kallithea",2022-05-07,295000,2980,99,2022,"1st",3,1,1,2022-06-10,"Newly built","A",0,1,0,1,0,0,0,0,NA
"660",760,"Kallithea",2021-05-22,230000,1533,150,1975,"4th",3,1,0,NA,"Good","F",1,0,1,1,0,1,0,0,NA
"661",761,"Kallithea",2022-04-08,75000,1103,68,1980,"Other",2,1,1,2022-04-16,"Good","C",1,0,0,0,0,0,0,0,NA
"662",762,"Kallithea",2022-04-03,175000,3500,50,2022,"2nd",1,1,1,2022-04-14,"Under construction","A",1,0,0,1,0,0,0,0,NA
"663",763,"Kallithea",2022-03-14,290000,3580,81,2022,"5th",1,1,1,2022-06-10,"Under construction","B+",1,0,0,0,0,0,0,0,NA
"664",764,"Kallithea",2022-04-14,180000,1452,124,1972,"5th",3,1,1,2022-05-17,NA,NA,1,1,1,0,0,0,1,1,NA
"665",765,"Kallithea",2022-06-06,119000,2204,54,1990,"4th",1,1,0,NA,NA,"C",0,0,0,1,0,0,0,0,NA
"666",766,"Kallithea",2022-02-25,195000,1598,122,1980,"4th",2,1,1,2022-04-24,"Renovated","D",1,0,1,1,0,0,0,0,NA
"667",767,"Kallithea",2022-03-03,90000,1636,55,2005,"Ground",1,1,1,2022-03-17,"Newly built","D",1,0,0,0,1,0,0,0,NA
"668",768,"Kallithea",2022-03-17,320000,3265,98,2021,"6th",3,NA,1,2022-03-18,NA,"B+",1,0,1,1,0,1,0,0,"Υπόγειο parking"
"669",770,"Kallithea",2022-05-04,250000,2500,100,1995,"3rd",2,1,1,2022-05-12,"Excellent","F",0,0,0,0,0,0,0,0,NA
"670",771,"Kallithea",2022-04-20,155000,2460,63,1966,"Ground",1,1,1,2022-05-07,"Renovated","G",0,0,0,0,0,0,0,0,NA
"671",772,"Kallithea",2022-05-22,320000,3478,92,2022,"5th",2,1,1,2022-05-30,"Under construction","A",0,0,1,1,0,1,0,0,NA
"672",773,"Kallithea",2021-08-06,56500,1883,30,1978,"Ground",1,1,1,2022-06-10,"Renovated","G",0,0,0,1,0,0,0,0,NA
"673",775,"Kallithea",2022-03-23,160000,1616,99,1973,"4th",3,1,1,2022-03-24,"Renovated","F",1,0,1,0,0,0,0,0,NA
"674",777,"Kallithea",2022-05-11,140000,1892,74,1975,"1st",2,1,1,2022-05-17,"Good","F",0,0,1,1,0,0,0,1,NA
"675",778,"Kallithea",2022-06-02,138000,2509,55,1983,"5th",1,1,1,2022-06-10,NA,"Pending",0,0,1,1,0,0,1,1,NA
"676",779,"Kallithea",2022-06-01,45000,2250,20,1980,"Ground",1,1,0,NA,"Good","D",0,1,1,1,0,0,1,0,NA
"677",781,"Kallithea",2021-11-24,340000,3301,103,2021,"1st",3,1,1,2022-05-07,"Under construction",NA,1,0,0,1,0,0,0,0,NA
"678",782,"Kallithea",2022-01-27,590000,3278,180,2002,"5th",3,1,1,2022-04-01,"Excellent","C",0,0,0,1,0,1,0,0,NA
"679",783,"Kallithea",2022-05-04,160000,2286,70,2002,"1st",2,1,1,2022-05-07,"Good","Pending",0,0,0,1,0,0,0,0,NA
"680",784,"Kallithea",2022-05-19,45000,1552,29,1970,"Ground",1,1,1,2022-06-02,"Good","Pending",0,0,0,1,0,0,1,0,NA
"681",785,"Kallithea",2022-05-08,241000,3951,61,1972,"3rd",1,1,1,2022-05-16,"Good","A",0,0,0,1,0,0,1,0,NA
"682",786,"Kallithea",2022-04-05,279000,2583,108,2004,"3rd",3,1,1,2022-06-10,"Newly built","B",1,1,1,1,1,0,0,0,"Υπόγειο parking"
